mirnaid;targets;valtargets
hsa-mir-4708;3310;0
hsa-mir-548ay;0;0
hsa-mir-552;2927;0
hsa-mir-325;755;0
hsa-mir-3689b;5539;0
hsa-mir-5692c-2;2937;0
hsa-mir-10a;2468;5
hsa-mir-506;4427;0
hsa-mir-890;2000;0
hsa-mir-3180-5;1554;0
hsa-mir-4787;1057;0
hsa-mir-4477a;2752;0
hsa-mir-182;3615;8
hsa-mir-520h;3752;5
hsa-mir-302f;2111;0
hsa-mir-19b-2;3918;13
hsa-mir-4533;3748;0
hsa-mir-548a-1;4117;0
hsa-mir-4717;4328;0
hsa-mir-100;1729;6
hsa-mir-526b;4854;0
hsa-mir-23a;4480;5
hsa-mir-3619;4769;0
hsa-mir-101-1;2975;16
hsa-mir-148a;4638;7
hsa-mir-514a-1;3310;0
hsa-mir-125a;5027;16
hsa-mir-1265;1887;0
hsa-mir-4424;1601;0
hsa-mir-3649;1549;0
hsa-mir-4790;1856;0
hsa-mir-4757;2869;0
hsa-let-7a-3;4573;36
hsa-mir-518e;1848;0
hsa-mir-196b;1717;2
hsa-mir-205;4979;13
hsa-mir-668;1370;0
hsa-mir-145;3840;32
hsa-mir-200b;3768;13
hsa-mir-1299;3366;0
hsa-mir-3144;2706;0
hsa-mir-3908;2280;0
hsa-mir-493;3636;0
hsa-mir-130a;5009;10
hsa-mir-5692a-1;5213;0
hsa-mir-892b;2334;1
hsa-mir-6770-2;0;0
hsa-mir-6089-1;0;0
hsa-mir-523;1566;0
hsa-mir-3180-2;4601;0
hsa-mir-450b;4155;0
hsa-mir-412;1935;1
hsa-mir-3169;2282;0
hsa-mir-550a-2;3213;0
hsa-mir-212;4170;5
hsa-mir-1205;3647;0
hsa-mir-1207;6501;0
hsa-mir-7158;0;0
hsa-mir-3977;2594;0
hsa-mir-4435-2;3638;0
hsa-mir-376b;1563;1
hsa-mir-323a;3192;0
hsa-mir-5583-2;3310;0
hsa-mir-521-1;384;1
hsa-mir-5702;1906;0
