;;;;hsa04917; ; ;hsa04610; ; ;hsa04145; ; ;hsa04380; ; ;hsa04666; ; ;hsa04340; ; ;hsa03050; ; ;hsa04621; ; ;hsa04152; ; ;hsa04066; ; ;hsa05100; ; ;hsa04650; ; ;hsa04662; ; ;hsa04060; ; ;hsa04120; ; ;hsa04330; ; ;hsa04151; ; ;hsa04520; ; ;hsa04660; ; ;hsa04110; ; ;hsa04068; ; ;hsa04530; ; ;hsa04210; ; ;hsa04640; ; ;hsa04140; ; ;hsa04510; ; ;hsa04150; ; ;hsa04144; ; ;hsa04014; ; ;hsa04350; ; ;hsa04062; ; ;hsa04630; ; ;hsa04620; ; ;hsa04310; ; ;hsa04010; ; ;hsa04810; ; ;hsa04612; ; ;hsa04064; ; ;hsa04722; ; 
mirnaname;type;hostgene;Link to target;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget;hosted;target;valtarget
"hsa-let-7a-1";"inter";"PTPDC1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7a-1/";"0";"39";"6";"0";"27";"2";"0";"24";"2";"0";"32";"5";"0";"23";"2";"0";"15";"2";"0";"8";"2";"0";"28";"5";"0";"35";"2";"0";"48";"6";"0";"23";"2";"0";"31";"5";"0";"31";"5";"0";"97";"4";"0";"47";"4";"0";"15";"0";"0";"53";"9";"0";"42";"3";"0";"43";"5";"0";"68";"5";"0";"55";"5";"0";"32";"2";"0";"40";"8";"0";"33";"4";"0";"14";"2";"0";"45";"5";"0";"29";"2";"0";"50";"4";"0";"37";"5";"0";"33";"5";"0";"30";"5";"0";"30";"6";"0";"40";"5";"0";"44";"4";"0";"72";"7";"0";"41";"3";"0";"15";"2";"0";"41";"5";"0";"52";"7"
"hsa-let-7a-2";"inter";"BLID";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7a-2/";"0";"28";"6";"0";"23";"2";"0";"15";"2";"0";"31";"5";"0";"15";"2";"0";"6";"2";"0";"8";"2";"0";"19";"5";"0";"24";"2";"0";"31";"6";"0";"12";"2";"0";"27";"5";"0";"23";"5";"0";"72";"4";"0";"33";"4";"0";"7";"0";"0";"48";"9";"0";"31";"3";"0";"34";"5";"0";"51";"5";"0";"44";"5";"0";"22";"2";"0";"31";"8";"0";"23";"4";"0";"11";"2";"0";"31";"5";"0";"21";"2";"0";"28";"4";"0";"29";"5";"0";"23";"5";"0";"24";"5";"0";"23";"6";"0";"28";"5";"0";"33";"4";"0";"55";"7";"0";"32";"3";"0";"9";"2";"0";"33";"5";"0";"31";"7"
"hsa-let-7a-3";"inter";"PPARA";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7a-3/";"0";"39";"6";"0";"27";"2";"0";"24";"2";"0";"32";"5";"0";"23";"2";"0";"15";"2";"0";"8";"2";"0";"28";"5";"0";"35";"2";"0";"48";"6";"0";"23";"2";"0";"31";"5";"0";"31";"5";"0";"97";"4";"0";"47";"4";"0";"15";"0";"0";"53";"9";"0";"42";"3";"0";"43";"5";"0";"68";"5";"0";"55";"5";"0";"32";"2";"0";"40";"8";"0";"33";"4";"0";"14";"2";"0";"45";"5";"0";"29";"2";"0";"50";"4";"0";"37";"5";"0";"33";"5";"0";"30";"5";"0";"30";"6";"0";"40";"5";"0";"44";"4";"0";"72";"7";"0";"41";"3";"0";"15";"2";"0";"41";"5";"0";"52";"7"
"hsa-let-7b";"inter";"PPARA";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7b/";"0";"35";"2";"0";"25";"0";"0";"23";"0";"0";"30";"1";"0";"22";"0";"0";"14";"0";"0";"7";"0";"0";"25";"1";"0";"35";"3";"0";"44";"0";"0";"23";"1";"0";"28";"0";"0";"27";"0";"0";"97";"2";"0";"47";"4";"0";"16";"0";"0";"47";"4";"0";"40";"0";"0";"39";"0";"0";"64";"5";"0";"52";"1";"0";"31";"0";"0";"34";"0";"0";"31";"0";"0";"13";"0";"0";"41";"1";"0";"28";"0";"0";"47";"0";"0";"33";"0";"0";"30";"1";"0";"26";"0";"0";"25";"1";"0";"38";"2";"0";"41";"1";"0";"67";"2";"0";"38";"0";"0";"14";"0";"0";"38";"2";"0";"47";"0"
"hsa-let-7c";"inter";"LINC00478";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7c/";"0";"16";"0";"0";"9";"0";"0";"5";"0";"0";"13";"1";"0";"6";"0";"0";"1";"0";"0";"1";"0";"0";"10";"0";"0";"14";"0";"0";"16";"0";"0";"4";"0";"0";"13";"0";"0";"11";"0";"0";"43";"1";"0";"16";"0";"0";"4";"0";"0";"23";"1";"0";"14";"1";"0";"18";"0";"0";"23";"0";"0";"27";"1";"0";"10";"0";"0";"18";"1";"0";"10";"0";"0";"5";"0";"0";"14";"0";"0";"10";"0";"0";"16";"1";"0";"12";"1";"0";"12";"1";"0";"10";"0";"0";"10";"1";"0";"16";"0";"0";"14";"0";"0";"30";"1";"0";"15";"0";"0";"2";"0";"0";"16";"1";"0";"18";"0"
"hsa-let-7d";"inter";"PTPDC1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7d/";"0";"18";"0";"0";"9";"0";"0";"8";"0";"0";"15";"0";"0";"6";"0";"0";"2";"0";"0";"3";"0";"0";"10";"0";"0";"16";"0";"0";"20";"0";"0";"5";"0";"0";"13";"0";"0";"14";"0";"0";"49";"1";"0";"19";"0";"0";"6";"0";"0";"26";"0";"0";"16";"0";"0";"21";"0";"0";"24";"0";"0";"29";"0";"0";"13";"0";"0";"18";"0";"0";"11";"0";"0";"6";"0";"0";"16";"0";"0";"12";"0";"0";"17";"0";"0";"15";"0";"0";"12";"0";"0";"13";"0";"0";"12";"0";"0";"16";"0";"0";"13";"0";"0";"33";"1";"0";"16";"0";"0";"6";"0";"0";"19";"0";"0";"21";"0"
"hsa-let-7e";"inter";"LINC00085";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7e/";"0";"18";"0";"0";"10";"0";"0";"6";"0";"0";"15";"0";"0";"7";"0";"0";"1";"0";"0";"0";"0";"0";"12";"0";"0";"16";"0";"0";"17";"0";"0";"5";"0";"0";"14";"0";"0";"12";"0";"0";"45";"0";"0";"16";"0";"0";"6";"0";"0";"24";"0";"0";"15";"0";"0";"21";"0";"0";"23";"0";"0";"30";"0";"0";"11";"0";"0";"19";"0";"0";"11";"0";"0";"5";"0";"0";"16";"0";"0";"12";"0";"0";"18";"0";"0";"15";"0";"0";"13";"0";"0";"10";"0";"0";"10";"0";"0";"18";"0";"0";"15";"0";"0";"32";"0";"0";"15";"0";"0";"4";"0";"0";"17";"0";"0";"21";"0"
"hsa-let-7f-1";"inter";"PTPDC1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7f-1/";"0";"35";"0";"0";"26";"0";"0";"23";"0";"0";"29";"0";"0";"22";"0";"0";"14";"0";"0";"7";"0";"0";"25";"0";"0";"34";"0";"0";"44";"0";"0";"22";"0";"0";"28";"0";"0";"27";"0";"0";"96";"0";"0";"45";"0";"0";"16";"0";"0";"46";"0";"0";"40";"0";"0";"39";"0";"0";"64";"0";"0";"52";"0";"0";"31";"0";"0";"34";"0";"0";"32";"0";"0";"13";"0";"0";"41";"0";"0";"28";"0";"0";"47";"0";"0";"34";"0";"0";"30";"0";"0";"26";"0";"0";"25";"0";"0";"37";"0";"0";"41";"0";"0";"68";"0";"0";"38";"0";"0";"14";"0";"0";"37";"0";"0";"47";"0"
"hsa-let-7f-2";"intra";"HUWE1";"http://www.bioinfo.mochsl.org.br/miriad/miRNA/hsa-let-7f-2/";"0";"29";"0";"0";"25";"0";"0";"15";"0";"0";"25";"0";"0";"16";"0";"0";"6";"0";"0";"7";"0";"0";"20";"0";"0";"29";"0";"0";"33";"0";"0";"12";"0";"0";"28";"0";"0";"21";"0";"0";"82";"0";"1";"31";"0";"0";"8";"0";"0";"45";"0";"0";"30";"0";"0";"29";"0";"0";"46";"0";"0";"52";"0";"0";"19";"0";"0";"27";"0";"0";"28";"0";"0";"10";"0";"0";"27";"0";"0";"23";"0";"0";"29";"0";"0";"33";"0";"0";"27";"0";"0";"20";"0";"0";"22";"0";"0";"28";"0";"0";"26";"0";"0";"55";"0";"0";"30";"0";"0";"11";"0";"0";"29";"0";"0";"35";"0"
