MirnaId;Accession;Intragenic;A549;BCELL;DendriticCell;Granulocite;lung;Monocyte;NKCELL
hsa-let-7a-1;MI0000060;0;0;1;0;0;0;0;0
hsa-let-7a-2;MI0000061;0;0;1;0;0;0;0;0
hsa-let-7a-3;MI0000062;0;0;1;0;0;0;0;0
hsa-let-7b;MI0000063;0;0;1;0;0;0;0;0
hsa-let-7c;MI0000064;0;0;1;0;0;0;0;0
hsa-let-7d;MI0000065;0;0;1;1;0;0;0;0
hsa-let-7e;MI0000066;0;0;1;1;0;0;0;0
hsa-let-7f-1;MI0000067;0;0;1;0;0;0;0;0
hsa-let-7f-2;MI0000068;1;0;1;0;0;0;0;0
hsa-mir-15a;MI0000069;0;0;0;0;0;0;1;0
hsa-mir-16-1;MI0000070;0;0;1;1;0;0;1;0
hsa-mir-17;MI0000071;0;1;1;1;0;0;1;0
hsa-mir-18a;MI0000072;0;1;1;1;0;0;0;0
hsa-mir-19a;MI0000073;0;1;0;0;0;0;1;0
hsa-mir-20a;MI0000076;0;0;1;0;0;0;0;0
hsa-mir-21;MI0000077;0;1;1;1;0;1;1;0
hsa-mir-22;MI0000078;0;0;0;0;0;0;1;0
hsa-mir-23a;MI0000079;0;0;1;0;0;0;0;0
hsa-mir-24-1;MI0000080;0;1;1;0;0;1;0;0
hsa-mir-24-2;MI0000081;0;1;1;0;0;1;0;0
hsa-mir-25;MI0000082;1;0;1;0;0;0;1;0
hsa-mir-26a-1;MI0000083;0;0;0;0;0;1;1;0
hsa-mir-26b;MI0000084;0;0;1;0;0;0;1;0
hsa-mir-27a;MI0000085;0;0;0;0;0;0;1;0
hsa-mir-28;MI0000086;0;0;1;0;0;0;1;0
hsa-mir-29a;MI0000087;0;0;1;0;0;0;1;0
hsa-mir-30a;MI0000088;0;0;1;0;0;0;0;0
hsa-mir-31;MI0000089;0;0;1;0;0;0;0;0
hsa-mir-33a;MI0000091;1;0;0;0;0;1;0;0
hsa-mir-92a-1;MI0000093;0;0;1;0;0;0;0;0
hsa-mir-92a-2;MI0000094;0;0;1;0;0;0;0;0
