precursor	mirbase_id	chr	strand	start	end	type	intron_exon_pos	orientation_to_host	distance_upstream_exon	exp_mature	host_symbol	host_start	host_end	host_strand	Cerebellum	Heart	Testis	Brain	Kidney
hsa-mir-4469	MI0016820	chr8	-	42751340	42751418	intronic	1	sense	209	none	RNF170	42704780	42751866	-	0	0	0	0	0
hsa-mir-6090	MI0020367	chr11	+	128392285	128392344	intronic	3	antisense	33842	none	ETS1	128328656	128457453	-	0	0	0	0	0
hsa-mir-939	MI0005761	chr8	-	145619364	145619445	exonic	34	sense	0	none	CPSF1	145618446	145634733	-	0	0	0	0	0
hsa-mir-617	MI0003631	chr12	-	81226312	81226408	intronic	4	sense	13101	none	LIN7A	81191171	81331694	-	0	0	0	0	0
hsa-mir-5096	MI0018004	chr4	+	79741906	79741975	intronic	1	sense	44031	none	BMP2K	79697532	79833341	+	0	0	0	0	0
hsa-mir-3652	MI0016052	chr12	+	104324203	104324333	exonic	1	sense	0	hsa-miR-3652	HSP90B1	104324112	104341708	+	0.22	0	0	0	0.18
hsa-mir-4684	MI0017316	chr1	+	23046010	23046091	intronic	1	sense	8474	none	EPHB2	23037331	23241823	+	0	0	0	0	0
hsa-mir-3162	MI0014192	chr11	-	59362550	59362631	intronic	7	sense	5338	none	OSBP	59341871	59383617	-	0	0	0	0	0
hsa-mir-4718	MI0017353	chr16	+	12814178	12814228	intronic	2	antisense	60814	none	CPPED1	12753656	12897744	-	0	0	0	0	0
hsa-mir-6739	MI0022584	chr1	+	201832501	201832575	intronic	13	sense	4379	hsa-miR-6739-3p	IPO9	201798288	201853422	+	0.22	0.24	0.39	0.16	0.18
hsa-mir-6865	MI0022712	chr17	-	4873381	4873445	intronic	17	sense	190	hsa-miR-6865-3p	CAMTA2	4871287	4890960	-	0	0	0	0.16	0
hsa-mir-6832	MI0022677	chr6	+	31601564	31601635	intronic	17	sense	140	hsa-miR-6832-5p	PRRC2A	2874022	2891126	+	0	0	0	0.16	0
hsa-mir-1262	MI0006397	chr1	-	68649201	68649293	intronic	2	sense	10345	hsa-miR-1262	WLS	68564142	68698284	-	1.11	1.43	3.15	2.22	3.21
hsa-mir-320b-2	MI0003839	chr1	-	224444706	224444843	intronic	18	sense	10893	hsa-miR-320b	NVL	224415036	224517891	-	687.04	20.46	83.94	532.26	36.59
hsa-mir-3920	MI0016427	chr11	-	101390551	101390636	intronic	1	sense	63429	none	TRPC6	101322295	101454659	-	0	0	0	0	0
hsa-mir-6871	MI0022718	chr20	+	39797663	39797718	intronic	21	sense	153	hsa-miR-6871-3p	PLCG1	39766161	39804357	+	0	0	0	0.16	0
hsa-mir-2278	MI0011285	chr9	+	97572244	97572339	intronic	5	sense	8960	none	C9orf3	97488951	97849500	+	0	0	0	0	0
hsa-mir-3664	MI0016065	chr11	-	70718375	70718473	intronic	8	sense	24133	none	SHANK2	70313961	70935808	-	0	0	0	0	0
hsa-mir-378h	MI0016808	chr5	+	154209018	154209100	intronic	5	antisense	1261	hsa-miR-378h	C5orf4	154198052	154230213	-	0	0.48	0	0	0
hsa-mir-4744	MI0017382	chr18	-	46576057	46576138	intronic	16	sense	47634	none	DYM	46570172	46987079	-	0	0	0	0	0
hsa-mir-7703	MI0025239	chr14	-	24612698	24612774	exonic	11	sense	0	none	PSME2	24612574	24615855	-	0	0	0	0	0
hsa-mir-1469	MI0007074	chr15	+	96876490	96876536	intronic	1	sense	640	none	NR2F2	96869157	96883492	+	0	0	0	0	0
hsa-mir-6079	MI0020356	chr1	+	44304294	44304355	intronic	4	sense	311	none	ST3GAL3	44173204	44396837	+	0	0	0	0	0
hsa-mir-580	MI0003587	chr5	-	36147994	36148090	intronic	1	sense	3568	hsa-miR-580-5p	LMBRD2	36103414	36152015	-	0	0	0	0.16	0
hsa-mir-6765	MI0022610	chr14	-	105617115	105617201	intronic	11	sense	1	none	JAG2	105607318	105635161	-	0	0	0	0	0
hsa-mir-3620	MI0016011	chr1	+	228284964	228285042	intronic	2	sense	1	hsa-miR-3620-3p	ARF1	228270361	228286913	+	0	0	0	0.16	0
hsa-mir-576	MI0003583	chr4	+	110409854	110409951	intronic	3	sense	15512	hsa-miR-576-5p	SEC24B	110354971	110461615	+	0.22	1.67	0.79	0.95	1.78
hsa-mir-6823	MI0022668	chr3	-	48587394	48587454	intronic	2	sense	97	none	PFKFB4	48555117	48594227	-	0	0	0	0	0
hsa-mir-6834	MI0022679	chr6	+	33258022	33258102	intronic	3	sense	1	hsa-miR-6834-5p	PFDN6	4489617	4490954	+	0.22	0	0	0.32	0.18
hsa-mir-6750	MI0022595	chr11	-	64665835	64665909	intronic	32	sense	199	hsa-miR-6750-3p	ATG2A	64662004	64684722	-	0.22	0	0	0	0
hsa-mir-664a	MI0006442	chr1	-	220373880	220373961	intronic	9	sense	1657	hsa-miR-664a-3p	RAB3GAP2	220321610	220445843	-	9.58	12.37	12.61	21.73	19.63
hsa-mir-5579	MI0019133	chr11	-	79133213	79133270	intronic	1	sense	18283	none	TENM4	78364328	79151695	-	0	0	0	0	0
hsa-mir-4506	MI0016869	chr14	-	94414572	94414648	intronic	4	sense	2697	hsa-miR-4506	ASB2	94400499	94443076	-	0	0.24	0	0	0
hsa-mir-6499	MI0022209	chr5	-	150901648	150901709	intronic	17	sense	3620	hsa-miR-6499-3p	FAT2	150883653	150948505	-	0.22	0	0	0	0
hsa-mir-6841	MI0022687	chr8	-	24811310	24811381	intronic	2	sense	314	hsa-miR-6841-5p	NEFL	24808469	24814131	-	0	0	0	5.71	0.36
hsa-mir-550a-1	MI0003600	chr7	+	30329410	30329506	intronic	1	sense	3968	hsa-miR-550a-3p	ZNRF2	30323923	30407308	+	1.11	0.48	1.58	1.11	0.18
hsa-mir-4316	MI0015845	chr17	-	75393066	75393136	intronic	1	antisense	20586	none	SEPT9	75277492	75496678	+	0	0	0	0	0
hsa-mir-4273	MI0015881	chr3	+	75787431	75787514	exonic	5	antisense	0	none	ZNF717	75786029	75834255	-	0	0	0	0	0
hsa-mir-6862-2	MI0026415	chr16	+	28735573	28735642	intronic	11	antisense	1	hsa-miR-6862-5p	EIF3C	28390903	28437775	-	0.89	0	0	0.48	0
hsa-mir-4642	MI0017269	chr6	+	44403378	44403459	intronic	14	sense	5731	hsa-miR-4642	CDC5L	44355251	44418161	+	0	0	0	0	0.36
hsa-mir-5000	MI0017866	chr2	+	75317939	75318041	intronic	2	antisense	29659	hsa-miR-5000-3p	TACR1	75273590	75426645	-	0	0.48	0	0.32	0.36
