precursor	mirbase_id	chr	strand	start	end	exp_mature	Cerebellum	Heart	Testis	Brain	Kidney	closest_gene	gene_strand	distance
hsa-mir-4708	MI0017341	chr14	-	65801835	65801901	none	0	0	0	0	0	FUT8	+	-75410
hsa-mir-548ay	MI0022210	chr3	-	32547775	32547881	hsa-miR-548ay-3p	0.45	0.71	0	0	0	CMTM6	-	3373
hsa-mir-552	MI0003557	chr1	-	35135200	35135295	hsa-miR-552-3p	0.22	0.24	0.79	0.63	0.36	GJB5	+	-85427
hsa-mir-325	MI0000824	chrX	-	76225829	76225926	none	0	0	0	0	0	FGF16	+	-483722
hsa-mir-3689b	MI0016411	chr9	-	137741971	137742118	none	0	0	0	0	0	COL5A1	+	5284
hsa-mir-5692c-2	MI0019289	chr7	-	97593717	97593793	none	0	0	0	0	0	MGC72080	-	-2116
hsa-mir-10a	MI0000266	chr17	-	46657200	46657309	hsa-miR-10a-3p	0	0.24	0	0	1.25	HOXB4	-	1458
hsa-mir-506	MI0003193	chrX	-	146312238	146312361	hsa-miR-506-3p	2.67	1.19	3551.27	1.59	137.61	CXorf51A	-	415990
hsa-mir-506	MI0003193	chrX	-	146312238	146312361	hsa-miR-506-3p	2.67	1.19	3551.27	1.59	137.61	CXorf51B	-	415990
hsa-mir-890	MI0005533	chrX	-	145075793	145075869	hsa-miR-890	0	0	0.39	0	0.71	CXorf1	+	164424
hsa-mir-3180-5	MI0016409	chr16	-	2185978	2186130	hsa-miR-3180	2.9	0	0.39	0.63	0	PKD1	-	80
hsa-mir-4787	MI0017434	chr3	+	50712511	50712594	hsa-miR-4787-3p	12.25	3.57	2.36	10.47	0.36	DOCK3	+	79
hsa-mir-4477a	MI0016829	chr9	-	68415308	68415388	hsa-miR-4477a	0	0	0.39	0	0	LOC642236	-	-12396
hsa-mir-182	MI0000272	chr7	-	129410223	129410332	hsa-miR-182-5p	22.5	75.89	201.78	33.16	984.9	NRF1	+	13302
hsa-mir-520h	MI0003175	chr19	+	54245766	54245853	hsa-miR-520h	0	0.24	1.18	0	0	NLRP12	-	51003
hsa-mir-302f	MI0006418	chr18	+	27878876	27878926	none	0	0	0	0	0	DSC3	-	691127
hsa-mir-19b-2	MI0000075	chrX	-	133303701	133303796	none	0	0	0	0	0	CCDC160	+	-67282
hsa-mir-4533	MI0016900	chr20	+	59053169	59053239	hsa-miR-4533	0	0	0	0.16	0	LOC284757	+	-155856
hsa-mir-548a-1	MI0003593	chr6	+	18572015	18572111	hsa-miR-548a-3p	0.45	1.43	1.18	0.79	1.78	RNF144B	+	-102911
hsa-mir-4717	MI0017352	chr16	+	2324621	2324692	hsa-miR-4717-5p	0	0	0	0.16	0	ABCA3	-	1188
hsa-mir-100	MI0000102	chr11	-	122022937	122023016	hsa-miR-100-5p	724.69	1527.85	469.77	1267.58	1026.31	BLID	-	36015
hsa-mir-526b	MI0003150	chr19	+	54197647	54197729	hsa-miR-526b-5p	0	0	0.79	0	0	DPRX	+	-57385
hsa-mir-23a	MI0000079	chr19	-	13947401	13947473	none	0	0	0	0	0	LOC284454	-	299
hsa-mir-3619	MI0016009	chr22	+	46486924	46487006	hsa-miR-3619-5p	0	0.24	0	0	0	LOC150381	+	-32523
hsa-mir-101-1	MI0000103	chr1	-	65524117	65524191	hsa-miR-101-5p	0.22	3.81	0.39	0	0.71	AK4	+	-89042
